27;27,00;24,00;24,00;26,00;25,00;27,00;27,00;53,00;53,50;35,00;36,00;82,00;85,00;74,00;102,00;71,00;0,70;32,00;0,00;0,00;0,00;0,00;95,00
28;28,00;20,00;20,00;21,00;21,00;21,50;21,50;36,00;37,00;28,00;27,00;71,00;74,00;70,00;77,00;62,00;0,81;30,00;13,00;8,00;10,00;6,00;90,00
29;29,00;20,00;20,00;22,00;22,00;22,50;23,00;37,00;39,00;29,00;28,00;72,50;75,00;70,00;79,00;64,00;0,81;30,00;13,00;8,00;10,00;6,00;91,00
30;30,00;31,00;31,50;37,00;37,00;41,00;40,00;63,00;63,00;43,00;43,00;116,00;118,00;117,00;117,00;104,00;0,89;42,00;0,00;0,00;0,00;0,00;128,00
31;31,00;32,00;32,00;34,00;33,00;37,00;37,00;50,00;51,00;35,00;35,00;94,00;97,00;89,00;96,00;87,00;0,91;37,00;0,00;0,00;0,00;0,00;109,00
33;33,00;22,00;22,00;23,00;24,00;24,00;24,00;47,00;47,00;32,00;32,00;81,00;82,00;73,00;91,00;72,00;0,79;30,00;0,00;0,00;0,00;0,00;93,00
34;34,00;20,00;22,00;22,00;23,00;24,00;24,00;44,00;43,00;30,00;30,00;78,00;80,00;67,00;90,00;64,00;0,71;29,00;0,00;0,00;0,00;0,00;89,00
35;35,00;26,00;27,00;32,00;32,00;33,00;33,00;59,00;59,00;41,00;41,00;98,00;100,00;101,00;106,00;102,00;0,96;33,00;0,00;0,00;0,00;0,00;108,00
36;36,00;25,00;26,00;33,00;31,00;35,00;34,00;62,00;61,00;41,00;41,00;97,00;98,00;94,00;119,00;90,00;0,76;35,00;0,00;0,00;0,00;0,00;109,00
37;37,00;28,00;30,00;31,00;32,00;37,00;35,00;53,00;53,00;38,00;39,00;104,00;107,00;95,00;108,00;93,00;0,86;41,00;0,00;0,00;0,00;0,00;116,00
38;38,00;22,00;22,00;26,00;26,00;28,00;28,00;53,00;51,00;33,00;33,00;86,00;87,00;79,00;98,00;76,00;0,78;30,00;0,00;0,00;0,00;0,00;98,00
39;39,00;26,00;26,00;31,00;29,00;34,00;30,00;57,00;58,00;37,00;37,00;89,00;91,00;87,00;104,00;83,00;0,80;34,00;0,00;0,00;0,00;0,00;99,00
