path,size,type,confidence,reason
EXECUTAR_INVENTARIO_V3.bat,262,other,low,not referenced by scanned text
fusion-biometria-local/legado-powershell/FusionBiometriaLocal.ps1,11397,other,low,not referenced by scanned text
fusion-biometria-local/legado-powershell/FusionBiometriaWatchdog.vbs,425,other,low,not referenced by scanned text
fusion-biometria-local/legado-powershell/iniciar-biometria-oculto.vbs,301,other,low,not referenced by scanned text
fusion-biometria-local/legado-powershell/iniciar-biometria.bat,91,other,low,not referenced by scanned text
fusion-biometria-local/legado-powershell/instalar-inicializacao.bat,754,other,low,not referenced by scanned text
fusion-biometria-local/legado-powershell/remover-inicializacao.bat,202,other,low,not referenced by scanned text
fusion-biometria-local/sdk-futronic/compilar-x86.bat,695,other,low,not referenced by scanned text
fusion-biometria-local/sdk-futronic/FTRAPI.dll,204800,other,low,not referenced by scanned text
fusion-biometria-local/sdk-futronic/ftrMathAPI.dll,360960,other,low,not referenced by scanned text
fusion-biometria-local/sdk-futronic/ftrScanAPI.dll,956376,other,low,not referenced by scanned text
fusion-biometria-local/sdk-futronic/FusionBiometriaSdk.anterior.exe,15872,other,low,not referenced by scanned text
fusion-biometria-local/sdk-futronic/FusionBiometriaSdk.cs,18025,other,low,not referenced by scanned text
fusion-biometria-local/sdk-futronic/FusionBiometriaSdk.exe,16384,other,low,not referenced by scanned text
fusion-biometria-local/sdk-futronic/iniciar-sdk-oculto.vbs,299,other,low,not referenced by scanned text
fusion-biometria-local/sdk-futronic/iniciar-sdk.bat,185,other,low,not referenced by scanned text
gitignore-adicionar.txt,36,text,low,not referenced by scanned text
iniciar-biometria-catraca.bat,389,other,low,not referenced by scanned text
INICIAR-FUSION-ACCESS-AGENT.bat,93,other,low,not referenced by scanned text
iniciar-sdk.bat,363,other,low,not referenced by scanned text
LEIA-ME_PATCH_09C.txt,530,text,low,not referenced by scanned text
lib/matriculas.service.mjs,8636,text,low,not referenced by scanned text
logs/homologacao-ativacao-pos-baixa-261k.json,409,text,low,not referenced by scanned text
logs/homologacao-ativacao-segura-261n.json,129,text,low,not referenced by scanned text
logs/piloto-atual.json,2354,text,low,not referenced by scanned text
logs/reset-sistema-virgem-piloto.json,1263,text,low,not referenced by scanned text
logs/reset-sistema-virgem.json,5565,text,low,not referenced by scanned text
logs/sincronizar-ativacao-pos-pagamento-261l.json,396,text,low,not referenced by scanned text
logs/sync-ativacao-segura-261n.json,410,text,low,not referenced by scanned text
modules/access-engine/drivers/controlid.driver.mjs,781,text,low,module file may be loaded dynamically
modules/access-engine/drivers/dimep.driver.mjs,777,text,low,module file may be loaded dynamically
modules/access-engine/drivers/face.driver.mjs,776,text,low,module file may be loaded dynamically
modules/access-engine/drivers/generic.driver.mjs,233,text,low,module file may be loaded dynamically
modules/access-engine/drivers/henry.driver.mjs,777,text,low,module file may be loaded dynamically
modules/access-engine/drivers/proveu.driver.mjs,778,text,low,module file may be loaded dynamically
modules/access-engine/drivers/tecnibra.driver.mjs,780,text,low,module file may be loaded dynamically
modules/access-engine/drivers/topdata.driver.mjs,779,text,low,module file may be loaded dynamically
modules/access-engine/DRIVERS.md,543,text,low,module file may be loaded dynamically
modules/agenda/agenda.schema.mjs,602,text,low,module file may be loaded dynamically
modules/biblioteca-inteligente/biblioteca-inteligente.schema.mjs,253,text,low,module file may be loaded dynamically
modules/biometria/biometria.routes.mjs,2191,text,low,module file may be loaded dynamically
modules/comercial/contratos/contratos.routes.mjs,1160,text,low,module file may be loaded dynamically
modules/comercial/servicos/servicos.routes.mjs,1326,text,low,module file may be loaded dynamically
modules/comercial/servicos-contratados/servicos-contratados.routes.mjs,1509,text,low,module file may be loaded dynamically
modules/core/api-response.mjs,879,text,low,module file may be loaded dynamically
modules/core/module-loader.mjs,243,text,low,module file may be loaded dynamically
modules/core/validator.mjs,450,text,low,module file may be loaded dynamically
modules/estoque/estoque.repository.mjs,40,text,low,module file may be loaded dynamically
modules/estoque/estoque.routes.mjs,103,text,low,module file may be loaded dynamically
modules/estoque/estoque.schema.mjs,36,text,low,module file may be loaded dynamically
modules/estoque/estoque.service.mjs,37,text,low,module file may be loaded dynamically
modules/financeiro/financeiro.schema.mjs,687,text,low,module file may be loaded dynamically
modules/financeiro/index.js,31603,text,low,module file may be loaded dynamically
modules/henry7x/cfg/card2_padrao.cfg7x,73,other,low,module file may be loaded dynamically
modules/henry7x/cfg/card3_padrao.cfg7x,73,other,low,module file may be loaded dynamically
modules/henry7x/cfg/card5_padrao.cfg7x,73,other,low,module file may be loaded dynamically
modules/henry7x/docs/Firebird.sql,37067,text,low,module file may be loaded dynamically
modules/henry7x/layouts/Padrao7x.lay7x,1681,other,low,module file may be loaded dynamically
modules/henry7x/README-INSTALACAO.md,841,text,low,module file may be loaded dynamically
modules/henry7x/README.md,1478,text,low,module file may be loaded dynamically
modules/matriculas/matriculas.repository.mjs. legado,2550,other,low,module file may be loaded dynamically
modules/matriculas/matriculas.routes.mjs.legado,2449,other,low,module file may be loaded dynamically
modules/matriculas/matriculas.schema.mjs,615,text,low,module file may be loaded dynamically
modules/matriculas/matriculas.service.mjs.legado,5177,other,low,module file may be loaded dynamically
modules/mensalidades/mensalidades.service.mjs,30444,text,low,module file may be loaded dynamically
modules/natacao/natacao.schema.mjs,620,text,low,module file may be loaded dynamically
modules/portal-aluno/portal.routes.mjs,22782,text,low,module file may be loaded dynamically
modules/portal-aluno-operacional/portal-aluno-operacional.routes.mjs,1104,text,low,module file may be loaded dynamically
modules/portal-professor/portal-professor.routes.mjs,848,text,low,module file may be loaded dynamically
modules/professor-painel/professor-painel.routes.mjs,1929,text,low,module file may be loaded dynamically
modules/treinos/treinos-integrado.service.mjs,14751,text,low,module file may be loaded dynamically
modules/treinos-integrado.service.mjs,14442,text,low,module file may be loaded dynamically
modules/treinos.routes.mjs,2058,text,low,module file may be loaded dynamically
modules/turmas/turmas.schema.mjs,618,text,low,module file may be loaded dynamically
package-lock.json,42408,text,low,not referenced by scanned text
PATCH_MANIFEST.json,1052,text,low,not referenced by scanned text
public/assets/css/fusion-menu-accordion.css,2679,text,medium,frontend asset not referenced by HTML/CSS/JS
public/assets/css/fusion-menu-clean.css,8947,text,medium,frontend asset not referenced by HTML/CSS/JS
public/assets/css/fusion-responsive-global.css,5308,text,medium,frontend asset not referenced by HTML/CSS/JS
public/assets/css/fusion-ui.css,8260,text,medium,frontend asset not referenced by HTML/CSS/JS
public/assets/css/fusion-v3-components.css,1541,text,medium,frontend asset not referenced by HTML/CSS/JS
